dl -,name,im_dir,cls_pth,bb_xmin,bb_ymin,bb_xmax,bb_ymax,im_dir_local,cls_pth_local,cls_name,Note,bb_if_used
1,padelE_36000_18047_000_180821_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/padelE_36000_18047_000_180821_L090_CX_01/,,-890884,2135429,-853750,2200085,F:\UAVSAR\padelE_36000_18047_000_180821_L090_CX_01\,F:\PAD2019\classification_training\Checkpoint-2020-march-12\training2018PAD.shp,training2018PAD.shp,,
2,padelE_36000_19059_003_190904_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/padelE_36000_19059_003_190904_L090_CX_01/,,-890884,2135429,-853750,2200085,F:\UAVSAR\padelE_36000_19059_003_190904_L090_CX_01\,F:\PAD2019\classification_training\Checkpoint-2020-march-12\training2019PAD.shp,training2019PAD.shp,,
3,PADELT_36000_17062_003_170613_L090_CX_01,,,-890884,2135429,-853750,2200085,F:\UAVSAR\PADELT_36000_17062_003_170613_L090_CX_01\,,,,
4,padelE_36000_17093_007_170908_L090_CX_01,,,-890884,2135429,-853750,2200085,F:\UAVSAR\padelE_36000_17093_007_170908_L090_CX_01\,,,,
5,redber_30704_17092_000_170907_L090_CX_01,,,-885958,2135429,-858495,2200085,F:\UAVSAR\redber_30704_17092_000_170907_L090_CX_01\Pout\,,,,
6,PADELT_36000_17062_003_170613_L090_CX_01,,,-885958,2135429,-853750,2200085,F:\UAVSAR\PADELT_36000_17062_003_170613_L090_CX_01\,,,,
7,yflatE_21609_17098_008_170916_L090_CX_01,,,-2062054,3699341,-1944050,3755604,F:\UAVSAR\yflatE_21609_19064_007_190914_L090_CX_01\,F:\PAD2019\classification_training\Checkpoint-2020-march-12\training2017SeptYF2.shp,training2017SeptYF2.shp,,
8,yflats_21508_17069_009_170621_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/yflats_21508_17069_009_170621_L090_CX_01/,,-2062054,3722869,-1944050,3771023,,F:\PAD2019\classification_training\Checkpoint-2020-march-12\training2017JuneYF.shp,training2017JuneYF.shp,larger bb,
9,yflatW_21508_17098_006_170916_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/yflatW_21508_17098_006_170916_L090_CX_01/,,-2062054,3722869,-1944050,3771023,,F:\PAD2019\classification_training\Checkpoint-2020-march-12\training2017SeptYF.shp,training2017SeptYF.shp,larger bb,
10,bakerc_16008_18047_005_180821_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/bakerc_16008_18047_005_180821_L090_CX_01/,,-926392,2606036,-905775,2667020,,,,,
11,bakerc_16008_18047_005_180821_L090_CX_02,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/bakerc_16008_18047_005_180821_L090_CX_02/,,-926392,2606036,-905775,2667020,,,,*,
12,bakerc_16008_18048_011_180822_L090_CX_01,,,-926392,2606036,-905775,2667020,,,,,
13,bakerc_16008_18048_011_180822_L090_CX_02,,,-926392,2606036,-905775,2667020,,,,*,
14,bakerc_16008_19059_012_190904_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/bakerc_16008_19059_012_190904_L090_CX_01/,,-926392,2606036,-905775,2667020,,,,*,
15,bakerc_16008_19060_037_190905_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/bakerc_16008_19060_037_190905_L090_CX_01/,,-926392,2606036,-905775,2667020,,F:\PAD2019\classification_training\Checkpoint-2020-march-12\training2019SeptBaker.shp,training2019SeptBaker.shp,*,
16,daring_21405_17063_010_170614_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/daring_21405_17063_010_170614_L090_CX_01/,,-747537,2839058,-696353,2878150,,,,"old min bb: -828919 2606036; then -747537, 2839058",
17,daring_21405_17094_010_170909_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/daring_21405_17094_010_170909_L090_CX_01/,,-747537,2839058,-696353,2878150,,,,"old min bb: -828919 2606036; then -747537, 2839058",
18,yflats_21508_17069_009_170621_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/yflats_21508_17069_009_170621_L090_CX_01/,,-2035474,3726658,-1969592,3766187,,F:\PAD2019\classification_training\Checkpoint-2020-march-12\training2017JuneYF.shp,,smaller bb,
19,yflatW_21508_17098_006_170916_L090_CX_01,/att/nobackup/ekyzivat/UAVSAR/asf.alaska.edu/yflatW_21508_17098_006_170916_L090_CX_01/,,-2035474,3726658,-1969592,3766187,,F:\PAD2019\classification_training\Checkpoint-2020-march-12\training2017SeptYF.shp,,smaller bb,
20,DONOTUSEyflats_21609_17069_011_170621_L090_CX_01,,,-2062054,3699341,-1944050,3755604,,,,NOTE: acquisition is truncated to mountains only� No coverage over our area!,
21,padelW_18035_17093_008_170908_L090_CX_01,,,-890884,2135429,-853750,2200085,,,,,
22,padelW_18035_18047_001_180821_L090_CX_01,,,-890884,2135429,-853750,2200085,,,training2018PADW.shp,,
23,PADELT_18035_17062_004_170613_L090_CX_01,,,-890884,2135429,-853750,2200085,,,,,
24,yflatE_21609_18051_009_180827_L090_CX_01,,,-2062054,3699341,-1944050,3771023,,,,old ymin: 3722869 ,
25,yflatE_21609_19064_007_190914_L090_CX_01,,,-2062054,3699341,-1944050,3771023,,,,old ymin: 3722869 ,
26,DONOTUSEyflats_21609_17069_011_170621_L090_CX_01,,,-2062054,3699341,-1944050,3771023,,,,"No coverage over our area! old ymin: 3722869 , old ymax: 3771023",
27,bonanW_03603_19063_009_190913_L090_CX_01,,,-2236961,3651958,-2181002,3683510,,,,,
28,bonanE_03604_19064_004_190914_L090_CX_01,,,-2236961,3639060,-2175083,3670214,,,,,
29,ftyuko_04707_19064_006_190914_L090_CX_01,,,-2051779,3705346,-2175083,3724397,,,,,
30,ftyuko_04707_17098_007_170916_L090_CX_01,,,-2051779,3705346,-1986586,3724397,,,,,
31,yflats_04707_17069_010_170621_L090_CX_01,,,-2051779,3705346,-1986586,3724397,,,,,
32,ftyuko_04707_18051_008_180827_L090_CX_01,,,-2051779,3705346,-1986586,3724397,,,,,
33,yflatE_21609_19064_007_190914_L090_CX_01,,,-2062054,3699341,-2019905,3739836,,,,Here and below are repeats with different bb to avoid mem errors,
34,yflatE_21609_18051_009_180827_L090_CX_01,,,-2062054,3699341,-2019905,3739836,,,,L end,
35,yflats_04707_17069_010_170621_L090_CX_01,,,-2070406,3704917,-2021828,3741112,,,,L end,
36,ftyuko_04707_17098_007_170916_L090_CX_01,,,-2070406,3704917,-2021828,3741112,,,,L end,
37,DONOTUSEyflats_21609_17069_011_170621_L090_CX_01,,,-1998014,3734066,-1971291,3756027,,,,TR end,
38,yflatE_21609_17098_008_170916_L090_CX_01,,,-1998014,3734066,-1971291,3756027,,,,TR end,
39,DONOTUSEyflats_21609_17069_011_170621_L090_CX_01,,,-2062054,3699341,-2019905,3739836,,,,L end- same as 18 and 19,
40,yflatE_21609_17098_008_170916_L090_CX_01,,,-2062054,3699341,-2019905,3739836,,,,L end,
41,yflats_21508_17069_009_170621_L090_CX_01,,,-2063583,3722379,-2018709,3756669,,,,BLL end,
42,yflatW_21508_17098_006_170916_L090_CX_01,,,-2063583,3722379,-2018709,3756669,,,,BLL end,
43,yflatE_21609_18051_009_180827_L090_CX_01,,,-2070406,3704917,-2021828,3741112,,,,LL end - same as 35 and 36,
44,yflatE_21609_19064_007_190914_L090_CX_01,,,-2070406,3704917,-2021828,3741112,,,,LL end - same as 35 and 36,
45,toolik_05300_19063_007_190913_L090_CX_01,,,-1971788,3991745,-1903125,4028496,,,,,
46,TOOLIK_05300_17067_009_170619_L090_CX_01,,,-1971788,3991745,-1903125,4028496,,,,,
47,toolik_05300_17097_011_170915_L090_CX_01,,,-1971788,3991745,-1903125,4028496,,,,,
48,toolik_05300_18050_008_180826_L090_CX_01,,,-1971788,3991745,-1903125,4028496,,,,,
49,atqasu_34509_19063_001_190913_L090_CX_01,,,-2028168,4347846,-1969689,4418435,,,,No data on DAAC!...,
50,atqasu_34509_18050_001_180826_L090_CX_01,,,-2028168,4347846,-1969689,4418435,,,,,
51,atqasu_34509_17098_000_170916_L090_CX_01,,,-2028168,4347846,-1969689,4418435,,,,,
